Designator,Mid X,Mid Y,Rotation,Layer
C1,-105.37044,3.57168,180.0,bottom
C2,-114.002464,12.50136,0.0,bottom
C3,-104.775128,5.05996,180.0,bottom
C4,-110.681575,2.863912,270.0,bottom
C5,-105.668096,13.691984,90.0,bottom
C6,-115.7884,13.691984,270.0,bottom
C7,-109.668161,14.74182,180.0,bottom
C8,-114.506074,16.111616,90.0,bottom
C9,-109.557608,2.249904,270.0,bottom
COL0,-125.313392,10.715424,0.0,bottom
COL1,-101.203256,6.54824,0.0,bottom
COL10,53.577864,-9.525184,0.0,bottom
COL11,72.032536,-8.929872,0.0,bottom
COL12,96.142672,-8.33456,0.0,bottom
COL13,104.179384,-8.036904,0.0,bottom
COL2,-94.952439,11.310946,0.0,bottom
COL3,-70.842344,17.263856,0.0,bottom
COL4,-57.150168,-13.097056,0.0,bottom
COL5,-38.695496,-12.501744,0.0,bottom
COL6,-20.240824,-11.906432,0.0,bottom
COL7,-1.786152,-11.31112,0.0,bottom
COL8,16.66852,-10.715808,0.0,bottom
COL9,35.123192,-10.120496,0.0,bottom
D1,-125.253858,34.686779,90.0,bottom
D10,46.196142,34.686779,90.0,bottom
D11,65.246142,34.686779,90.0,bottom
D12,84.296142,34.686779,90.0,bottom
D13,103.346142,34.686779,90.0,bottom
D14,131.563736,34.686779,90.0,bottom
D15,-120.491358,15.636779,90.0,bottom
D16,-96.678858,15.636779,90.0,bottom
D17,-77.628858,15.636779,90.0,bottom
D18,-58.578858,15.636779,90.0,bottom
D19,-39.528858,15.636779,90.0,bottom
D2,-106.203858,34.686779,90.0,bottom
D20,-20.478858,15.636779,90.0,bottom
D21,-1.428858,15.636779,90.0,bottom
D22,17.621142,15.636779,90.0,bottom
D23,36.671142,15.636779,90.0,bottom
D24,55.721142,15.636779,90.0,bottom
D25,74.771142,15.636779,90.0,bottom
D26,93.821142,15.636779,90.0,bottom
D27,112.871142,15.636779,90.0,bottom
D28,117.633626,15.636779,90.0,bottom
D29,-117.871983,-3.413221,90.0,bottom
D3,-87.213424,34.686779,90.0,bottom
D30,-91.916358,-3.413221,90.0,bottom
D31,-72.866358,-3.413221,90.0,bottom
D32,-53.816358,-3.413221,90.0,bottom
D33,-34.766358,-3.413221,90.0,bottom
D34,-15.716358,-3.413221,90.0,bottom
D35,3.333642,-3.413221,90.0,bottom
D36,22.383642,-3.413221,90.0,bottom
D37,41.433642,-3.413221,90.0,bottom
D38,60.483642,-3.413221,90.0,bottom
D39,79.533642,-3.413221,90.0,bottom
D4,-68.103858,34.686779,90.0,bottom
D40,98.583642,-3.413221,90.0,bottom
D41,131.921144,-4.44519,90.0,bottom
D42,141.386384,34.82556,90.0,bottom
D43,-113.347608,-22.463221,90.0,bottom
D44,-82.391358,-22.463221,90.0,bottom
D45,-63.341358,-22.463221,90.0,bottom
D46,-44.291358,-22.463221,90.0,bottom
D47,-25.241358,-22.463221,90.0,bottom
D48,-6.191358,-22.463221,90.0,bottom
D49,12.858642,-22.463221,90.0,bottom
D5,-44.589018,38.556307,90.0,bottom
D50,31.908642,-22.463221,90.0,bottom
D51,50.958642,-22.463221,90.0,bottom
D52,70.008642,-22.463221,90.0,bottom
D53,89.058642,-22.463221,90.0,bottom
D54,124.717664,-22.463221,90.0,bottom
D55,141.446142,-22.463221,90.0,bottom
D56,-115.728854,-37.941343,90.0,bottom
D57,-91.916354,-37.941343,90.0,bottom
D58,-68.103854,-37.941343,90.0,bottom
D59,8.096142,-41.513221,90.0,bottom
D6,-30.003858,34.686779,90.0,bottom
D60,77.747695,-37.941343,90.0,bottom
D61,101.560195,-37.941343,90.0,bottom
D62,125.372695,-37.941343,90.0,bottom
D63,95.249936,-20.240705,90.0,bottom
D64,98.821811,-20.240705,90.0,bottom
D65,102.393686,-20.240705,90.0,bottom
D66,95.249792,-27.979769,90.0,bottom
D67,98.821667,-27.979769,90.0,bottom
D68,102.393542,-27.979769,90.0,bottom
D69,-101.782884,-22.522054,90.0,bottom
D7,-10.953858,34.686779,90.0,bottom
D70,-25.698465,-38.220213,90.0,bottom
D71,-20.935961,-38.235901,90.0,bottom
D72,52.882851,-32.953864,180.0,bottom
D8,8.096142,34.686779,90.0,bottom
D9,27.146142,34.686779,90.0,bottom
GND1,-111.002438,-8.632279,180.0,bottom
J1,-112.5685,26.950911,270.0,bottom
J2,-133.347132,9.82768,180.0,bottom
J3,-69.298592,8.601048,270.0,bottom
J4,-90.189984,26.950911,270.0,bottom
J5,-52.562192,31.495872,270.0,bottom
J6,-71.890784,26.950911,270.0,bottom
KC_0,61.912392,40.330454,0.0,top
KC_1,-109.537608,40.330454,0.0,top
KC_2,-90.487608,40.330454,0.0,top
KC_3,-71.437608,40.330454,0.0,top
KC_4,-52.387608,40.330454,0.0,top
KC_5,-33.337608,40.330454,0.0,top
KC_6,-14.287608,40.330454,0.0,top
KC_7,4.762392,40.330454,0.0,top
KC_8,23.812392,40.330454,0.0,top
KC_9,42.862392,40.330454,0.0,top
KC_<>1,-104.775108,-16.819546,0.0,top
KC_A1,-95.250108,2.230454,0.0,top
KC_B1,-9.525108,-16.819546,0.0,top
KC_BKSP1,128.587392,40.330454,0.0,top
KC_BKSP2,119.062184,40.330454,0.0,top
KC_BSLS1,133.349892,21.280454,0.0,top
KC_BSLS2,138.112392,40.330454,0.0,top
KC_BSLS_ISO1,114.299892,2.230454,0.0,top
KC_C1,-47.625108,-16.819546,0.0,top
KC_CAPS1,-121.443858,2.230454,0.0,top
KC_COMM1,47.624892,-16.819546,0.0,top
KC_D1,-57.150108,2.230454,0.0,top
KC_DOT1,66.674892,-16.819546,0.0,top
KC_E1,-61.912608,21.280454,0.0,top
KC_ENT1,126.206142,2.230454,0.0,top
KC_ENT_ISO1,137.961669,9.524592,270.0,top
KC_EQL1,100.012392,40.330454,0.0,top
KC_ESC1,-128.587608,40.330454,0.0,top
KC_F1,-38.100108,2.230454,0.0,top
KC_G1,-19.050108,2.230454,0.0,top
KC_H1,-0.000108,2.230454,0.0,top
KC_I1,33.337392,21.280454,0.0,top
KC_J1,19.049892,2.230454,0.0,top
KC_K1,38.099892,2.230454,0.0,top
KC_L1,57.149892,2.230454,0.0,top
KC_LALT1,-76.200108,-35.869546,0.0,top
KC_LALT_1.25U1,-78.581358,-35.86953,0.0,top
KC_LBRC1,90.487392,21.280454,0.0,top
KC_LCTL1,-123.825108,-35.869546,0.0,top
KC_LCTL_1.25U1,-126.20636,-35.86953,0.0,top
KC_LGUI1,-100.012608,-35.869546,0.0,top
KC_LGUI_1.25U1,-102.39388,-35.86953,0.0,top
KC_LSFT1,-116.681358,-16.819546,0.0,top
KC_LSFT2,-126.206358,-16.819546,0.0,top
KC_M1,28.574892,-16.819546,0.0,top
KC_MENU1,64.293642,-35.86953,0.0,top
